task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,0,-0.11712498962879181,-0.11712498962879181,0.7857142857142857,0.0,1.0,3.0,0.0,0.0,0.58,0.5119199752807617,187.5293105086375,0.6513051986694336,147.39633615104043,0.0,0.0,0.0,0.0,0,0.0,3.23811411857605,-0.3185306191444397,0,0,0,672,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,1,-0.125124990940094,-0.125124990940094,0.7142857142857143,0.0,1.0,3.0,0.5,0.0,0.58,0.4679591655731201,205.14610475131232,0.5694661140441895,168.57895076185443,0.0,0.0,0.0,0.0,0,0.0,3.2172266244888306,-0.16002394258975983,0,0,0,1344,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,2,-0.1211249977350235,-0.1211249977350235,0.7857142857142857,0.0,1.0,3.0,0.0,0.0,0.58,0.4630248546600342,207.332282562857,0.5584230422973633,171.91267682123956,0.0,0.0,0.0,0.0,0,0.0,3.1856021881103516,0.012365897186100483,0,0,0,2016,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,3,-0.11962499469518661,-0.11962499469518661,0.8214285714285714,0.0,1.0,3.0,0.75,0.0,0.58,0.5994360446929932,160.15052956845014,0.6974902153015137,137.6363393979667,0.0,0.0,0.0,0.0,0,0.0,3.208922863006592,0.12455249577760696,0,0,0,2688,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,4,-0.08362500369548798,-0.08362500369548798,0.6785714285714286,0.0,1.0,3.0,1.25,0.0,0.58,0.45342111587524414,211.72370813540536,0.5496089458465576,174.66964598280342,0.0,0.0,0.0,0.0,0,0.0,3.1956987380981445,0.18118499219417572,0,0,0,3360,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,5,-0.1107499897480011,-0.1107499897480011,0.6785714285714286,0.0,1.0,3.0,0.0,0.0,0.58,0.5695459842681885,168.55531010959672,0.6639714241027832,144.58453559160873,0.0,0.0,0.0,0.0,0,0.0,3.1969977617263794,0.11271610110998154,0,0,1,4032,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,6,-0.11437499523162842,-0.11437499523162842,0.7142857142857143,0.0,1.0,3.0,0.0,0.0,0.58,0.46596693992614746,206.0231998759726,0.6051959991455078,158.62629649823353,0.0,0.0,0.0,0.0,0,0.0,3.1997880935668945,0.03155628219246864,0,0,1,4704,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,7,-0.09174999594688416,-0.09174999594688416,0.7142857142857143,0.0,1.0,3.0,0.0,0.0,0.58,0.46279191970825195,207.43663817751883,0.5579907894134521,172.0458506150489,0.0,0.0,0.0,0.0,0,0.0,3.210668206214905,-0.004788972437381744,0,0,1,5376,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,8,-0.10112499445676804,-0.10112499445676804,0.6428571428571428,0.0,1.0,3.0,0.0,0.0,0.58,0.454179048538208,211.3703842327812,0.5503628253936768,174.4303858665069,0.0,0.0,0.0,0.0,0,0.0,3.212811589241028,-0.05852880701422691,0,0,1,6048,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,9,-0.10875000059604645,-0.10875000059604645,0.6071428571428571,0.0,1.0,3.0,0.0,0.0,0.58,0.4734649658203125,202.7605143575365,0.5944170951843262,161.50275753800588,0.0,0.0,0.0,0.0,0,0.0,3.188105821609497,-0.08859705179929733,0,0,1,6720,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,10,-0.12150000035762787,-0.12150000035762787,0.6071428571428571,0.0,1.0,3.0,0.0,0.0,0.58,0.45989298820495605,208.74421324557488,0.55423903465271,173.21046335207024,0.0,0.0,0.0,0.0,0,0.0,3.193536877632141,-0.15350298583507538,0,0,1,7392,672,0,0
behavioral,behavioral_drift,Final-CIGAMF,0,8,12,12,40,11,-0.1067499965429306,-0.1067499965429306,0.6785714285714286,0.0,1.0,3.0,0.0,0.0,0.58,0.46485185623168945,206.51740702558817,0.5592398643493652,171.66158230098455,0.0,0.0,0.0,0.0,0,0.0,3.208545207977295,-0.14197106659412384,0,0,1,8064,672,0,0
