task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,0,-0.15333332121372223,-0.15333332121372223,0.6666666666666666,0.0,1.0,3.0,0.0,0.0,0.58,4.273726224899292,67.38850006864597,4.523410320281982,63.66877634528776,0.0,0.0,0.0,0.0,0,0.0,3.1995046138763428,-0.3482760190963745,0,0,0,6624,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,1,-0.13175000250339508,-0.13175000250339508,0.6904761904761906,0.0,1.0,3.0,1.1666666666666667,0.0,0.58,4.346244812011719,66.26409980497515,4.593681812286377,62.69480816666665,0.0,0.0,0.0,0.0,0,0.0,3.210498571395874,-0.06820319592952728,0,0,0,13248,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,2,-0.14529167115688324,-0.14529167115688324,0.6785714285714285,0.0,1.0,3.0,1.25,0.0,0.58,4.28521990776062,67.20775274062976,4.532504081726074,63.54103489087724,0.0,0.0,0.0,0.0,0,0.0,3.2044938802719116,0.09006039798259735,0,0,0,19872,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,3,-0.1497500091791153,-0.1497500091791153,0.6904761904761904,0.0,1.0,3.0,1.0833333333333333,0.0,0.58,4.375204801559448,65.825490019884,4.633257627487183,62.15928902623853,0.0,0.0,0.0,0.0,0,0.0,3.2174952030181885,0.13272669911384583,0,0,0,26496,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,4,-0.16899998486042023,-0.16899998486042023,0.7142857142857143,0.0,1.0,3.0,1.1666666666666667,0.0,0.58,4.391772031784058,65.5771742967739,4.643315076828003,62.024651619536876,0.0,0.0,0.0,0.0,0,0.0,3.198382616043091,0.06762012839317322,0,0,0,33120,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,5,-0.15600000321865082,-0.15600000321865082,0.6904761904761904,0.0,1.0,3.0,0.0,0.0,0.58,4.4015748500823975,65.43112631484811,4.7439866065979,60.70843446300034,0.0,0.0,0.0,0.0,0,0.0,3.201996088027954,0.03482507914304733,0,0,1,39744,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,6,-0.14520834386348724,-0.14520834386348724,0.6309523809523809,0.0,1.0,3.0,0.0,0.0,0.58,4.667594909667969,61.70201261541932,4.940509080886841,58.293587823605996,0.0,0.0,0.0,0.0,0,0.0,3.206502676010132,-0.0008131389622576535,0,0,1,46368,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,7,-0.15675000846385956,-0.15675000846385956,0.6904761904761904,0.0,1.0,3.0,0.0,0.0,0.58,4.648597002029419,61.95417668476511,4.95961856842041,58.06898172246443,0.0,0.0,0.0,0.0,0,0.0,3.222506523132324,-0.04073246568441391,0,0,1,52992,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,8,-0.14391665160655975,-0.14391665160655975,0.6428571428571429,0.0,1.0,3.0,0.0,0.0,0.58,4.899805784225464,58.77783991504177,5.171804666519165,55.68655789814191,0.0,0.0,0.0,0.0,0,0.0,3.220144033432007,-0.08749011158943176,0,0,1,59616,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,9,-0.15841665863990784,-0.15841665863990784,0.6547619047619048,0.0,1.0,3.0,0.0,0.0,0.58,4.330338001251221,66.50751047996356,4.592358827590942,62.71286953225275,0.0,0.0,0.0,0.0,0,0.0,3.2100675106048584,-0.1328168362379074,0,0,1,66240,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,10,-0.1394166499376297,-0.1394166499376297,0.6428571428571429,0.0,1.0,3.0,0.0,0.0,0.58,4.37458610534668,65.83479969636497,4.702963590621948,61.23798206184138,0.0,0.0,0.0,0.0,0,0.0,3.2257802486419678,-0.09493862092494965,0,0,1,72864,6624,0,0
scalability,behavioral_drift,Final-CIGAMF,0,24,12,12,40,11,-0.1303749829530716,-0.1303749829530716,0.6904761904761904,0.0,1.0,3.0,0.0,0.0,0.58,4.342350006103516,66.32353439846932,4.6046037673950195,62.546098328658445,0.0,0.0,0.0,0.0,0,0.0,3.203856945037842,-0.06135706603527069,0,0,1,79488,6624,0,0
