task,mode,model,seed,n_agents,episodes_total,max_steps,phase_length,episodes,mean_reward,reward_per_agent,mean_f1,mean_temporal_var,mean_uncertainty,mean_core_size,mean_core_switches,mean_mu,max_p,runtime,throughput_agent_steps_per_sec,episode_runtime_total,throughput_total_agent_steps_per_sec,proxy_train_residual,proxy_holdout_residual,scheduler_residual_ewma,scheduler_cusum_score,scheduler_accel_remaining,proxy_loss,bc_loss,policy_loss,triggered,trigger_count,stage,proxy_buffer_size,pushed_proxy_samples,promoted,demoted
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,0,-0.11712498962879181,-0.11712498962879181,0.7857142857142857,0.0,1.0,3.0,0.0,0.0,0.58,0.4350719451904297,220.65316107197188,0.5336840152740479,179.8817226157763,0.0,0.0,0.0,0.0,0,0.0,3.23811411857605,-0.3185306191444397,0,0,0,672,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,1,-0.125124990940094,-0.125124990940094,0.7142857142857143,0.0,1.0,3.0,0.5,0.0,0.58,0.45026707649230957,213.20679439381496,0.5464181900024414,175.68961238199458,0.0,0.0,0.0,0.0,0,0.0,3.2172266244888306,-0.16002394258975983,0,0,0,1344,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,2,-0.1211249977350235,-0.1211249977350235,0.7857142857142857,0.0,1.0,3.0,0.0,0.0,0.58,0.43465495109558105,220.86484867600072,0.5289740562438965,181.4833806437888,0.0,0.0,0.0,0.0,0,0.0,3.1856021881103516,0.012365897186100483,0,0,0,2016,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,3,-0.11962499469518661,-0.11962499469518661,0.8214285714285714,0.0,1.0,3.0,0.75,0.0,0.58,0.4383218288421631,219.0171551656146,0.5351920127868652,179.37487426261538,0.0,0.0,0.0,0.0,0,0.0,3.208922863006592,0.12455249577760696,0,0,0,2688,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,4,-0.08362500369548798,-0.08362500369548798,0.6785714285714286,0.0,1.0,3.0,1.25,0.0,0.58,0.4683969020843506,204.95438712938366,0.5784804821014404,165.95201215996386,0.0,0.0,0.0,0.0,0,0.0,3.1956987380981445,0.18118499219417572,0,0,0,3360,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,5,-0.1107499897480011,-0.1107499897480011,0.6785714285714286,0.0,1.0,3.0,0.0,0.0,0.58,0.4445991516113281,215.92483847995263,0.5707099437713623,168.21154256681305,0.0,0.0,0.0,0.0,0,0.0,3.1969977617263794,0.11271610110998154,0,0,1,4032,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,6,-0.11437499523162842,-0.11437499523162842,0.7142857142857143,0.0,1.0,3.0,0.0,0.0,0.58,0.44169020652770996,217.3469064543937,0.5379295349121094,178.46203595362195,0.0,0.0,0.0,0.0,0,0.0,3.1997880935668945,0.03155628219246864,0,0,1,4704,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,7,-0.09174999594688416,-0.09174999594688416,0.7142857142857143,0.0,1.0,3.0,0.0,0.0,0.58,0.4789597988128662,200.43435845334494,0.5811121463775635,165.20047050888235,0.0,0.0,0.0,0.0,0,0.0,3.210668206214905,-0.004788972437381744,0,0,1,5376,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,8,-0.10112499445676804,-0.10112499445676804,0.6428571428571428,0.0,1.0,3.0,0.0,0.0,0.58,0.45279574394226074,212.0161271044139,0.5625944137573242,170.63802564063445,0.0,0.0,0.0,0.0,0,0.0,3.212811589241028,-0.05852880701422691,0,0,1,6048,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,9,-0.10875000059604645,-0.10875000059604645,0.6071428571428571,0.0,1.0,3.0,0.0,0.0,0.58,0.5641899108886719,170.15547096329252,0.6690330505371094,143.49066899300388,0.0,0.0,0.0,0.0,0,0.0,3.188105821609497,-0.08859705179929733,0,0,1,6720,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,10,-0.12150000035762787,-0.12150000035762787,0.6071428571428571,0.0,1.0,3.0,0.0,0.0,0.58,0.5403709411621094,177.65574106102855,0.6452770233154297,148.77331212996327,0.0,0.0,0.0,0.0,0,0.0,3.193536877632141,-0.15350298583507538,0,0,1,7392,672,0,0
structural,structural_shift,Final-CIGAMF,0,8,12,12,40,11,-0.1067499965429306,-0.1067499965429306,0.6785714285714286,0.0,1.0,3.0,0.0,0.0,0.58,0.47381019592285156,202.61277791419934,0.5778143405914307,166.14333230590597,0.0,0.0,0.0,0.0,0,0.0,3.208545207977295,-0.14197106659412384,0,0,1,8064,672,0,0
